iter	Passed	Remaining
711	1318	533
712	1320	531
713	1322	529
714	1324	528
715	1326	526
716	1328	524
717	1330	522
718	1332	520
719	1333	518
720	1335	516
721	1337	514
722	1338	512
723	1340	511
724	1343	509
725	1344	507
726	1346	505
727	1348	503
728	1350	501
729	1352	500
730	1353	498
731	1355	496
732	1357	494
733	1358	492
734	1360	490
735	1362	488
736	1364	486
737	1366	484
738	1367	483
739	1369	481
740	1371	479
741	1372	477
742	1374	475
743	1375	473
744	1377	471
745	1379	469
746	1380	467
747	1382	465
748	1384	463
749	1386	462
750	1388	460
751	1389	458
752	1391	456
753	1393	454
754	1395	452
755	1397	450
756	1399	449
757	1401	447
758	1403	445
759	1404	443
760	1406	441
761	1408	440
762	1410	438
763	1412	436
764	1414	434
765	1416	432
766	1418	430
767	1419	428
768	1421	427
769	1423	425
770	1425	423
771	1427	421
772	1428	419
773	1430	417
774	1432	415
775	1434	414
776	1436	412
777	1437	410
778	1440	408
779	1442	406
780	1443	404
781	1445	402
782	1447	401
783	1449	399
784	1450	397
785	1452	395
786	1454	393
787	1456	391
788	1458	389
789	1459	388
790	1461	386
791	1463	384
792	1465	382
793	1467	380
794	1469	378
795	1471	377
796	1473	375
797	1475	373
798	1477	371
799	1478	369
800	1480	367
801	1482	366
802	1484	364
803	1486	362
804	1488	360
805	1490	358
806	1491	356
807	1493	354
808	1495	353
809	1497	351
810	1499	349
811	1501	347
812	1502	345
813	1504	343
814	1506	342
815	1508	340
816	1510	338
817	1511	336
818	1513	334
819	1515	332
820	1517	330
821	1518	328
822	1520	327
823	1523	325
824	1524	323
825	1526	321
826	1528	319
827	1530	317
828	1531	315
829	1533	314
830	1535	312
831	1537	310
832	1538	308
833	1540	306
834	1542	304
835	1544	303
836	1546	301
837	1548	299
838	1550	297
839	1552	295
840	1554	293
841	1556	292
842	1558	290
843	1559	288
844	1562	286
845	1563	284
846	1565	282
847	1567	280
848	1569	279
849	1570	277
850	1572	275
851	1574	273
852	1576	271
853	1578	269
854	1579	267
855	1582	266
856	1584	264
857	1585	262
858	1587	260
859	1589	258
860	1591	256
861	1592	255
862	1594	253
863	1596	251
864	1598	249
865	1599	247
866	1601	245
867	1603	243
868	1604	241
869	1606	240
870	1608	238
871	1609	236
872	1611	234
873	1613	232
874	1615	230
875	1616	228
876	1618	227
877	1620	225
878	1622	223
879	1624	221
880	1626	219
881	1627	217
882	1629	215
883	1631	214
884	1633	212
885	1635	210
886	1637	208
887	1639	206
888	1641	204
889	1642	203
890	1644	201
891	1646	199
892	1648	197
893	1649	195
894	1651	193
895	1654	191
896	1655	190
897	1657	188
898	1659	186
899	1661	184
900	1663	182
901	1664	180
902	1667	179
903	1669	177
904	1671	175
905	1673	173
906	1675	171
907	1677	169
908	1678	168
909	1680	166
910	1682	164
911	1683	162
912	1685	160
913	1687	158
914	1689	156
915	1690	155
916	1692	153
917	1694	151
918	1696	149
919	1697	147
920	1699	145
921	1702	143
922	1703	142
923	1705	140
924	1707	138
925	1709	136
926	1710	134
927	1712	132
928	1714	131
929	1715	129
930	1717	127
931	1719	125
932	1721	123
933	1723	121
934	1724	119
935	1726	118
936	1728	116
937	1730	114
938	1732	112
939	1734	110
940	1737	108
941	1739	107
942	1741	105
943	1743	103
944	1745	101
945	1746	99
946	1748	97
947	1750	96
948	1752	94
949	1753	92
950	1755	90
951	1757	88
952	1759	86
953	1761	84
954	1762	83
955	1764	81
956	1766	79
957	1768	77
958	1769	75
959	1771	73
960	1773	71
961	1774	70
962	1776	68
963	1778	66
964	1780	64
965	1782	62
966	1784	60
967	1787	59
968	1788	57
969	1790	55
970	1792	53
971	1794	51
972	1796	49
973	1798	48
974	1799	46
975	1801	44
976	1803	42
977	1806	40
978	1807	38
979	1809	36
980	1811	35
981	1813	33
982	1814	31
983	1816	29
984	1818	27
985	1820	25
986	1822	23
987	1823	22
988	1825	20
989	1827	18
990	1829	16
991	1830	14
992	1832	12
993	1834	11
994	1835	9
995	1837	7
996	1839	5
997	1841	3
998	1843	1
999	1845	0
